"Year","PDO3","Sockeye","Pink-even","Pink-odd","Coho"
1963,-0.999333333333333,6.72828997257441,NA,NA,NA
1964,-0.751333333333333,6.74128013414845,NA,7.30898798018677,6.28800136995354
1965,-0.772,6.60391102133595,7.57363446562646,NA,6.25558556681712
1966,-0.693333333333333,6.70678296427886,NA,6.81427943394559,6.11943702753901
1967,-0.522,6.64947924249286,7.62067342477554,NA,6.38346545648546
1968,-0.638666666666667,6.82524561110395,NA,7.40543088823254,5.93959811732898
1969,-0.175333333333333,6.62679557325009,7.4759363465436,NA,6.14792570148865
1970,-0.507333333333333,6.60091269982383,NA,7.37065819409906,6.14661913109614
1971,-0.814666666666667,6.55041389784477,7.1970961851147,NA,6.24565946414783
1972,-1.16333333333333,6.50949419496155,NA,6.98899677605559,6.06980938610011
1973,-1.11333333333333,6.35876150502579,6.93949514111773,NA,6.20306036969316
1974,-0.628,6.74090545517863,NA,7.11223488931314,5.91490246010857
1975,-1.04866666666667,6.8506805976042,7.37264125744005,NA,6.09870566459703
1976,-0.229333333333333,6.8632856757819,NA,7.45533551836085,6.13591844259597
1977,0.00200000000000002,6.72120646817685,7.67926305148363,NA,6.37703764869963
1978,0.370666666666667,6.90830075314646,NA,7.69391364662424,6.39528846710653
1979,0.131333333333333,6.94367195671407,7.76012630067892,NA,6.36033567590278
1980,0.237333333333333,7.08612927302993,NA,7.77426181760075,6.42517019963203
1981,0.524666666666667,7.11952278615266,7.78981196879629,NA,6.64533835004542
1982,0.622,7.07091329754919,NA,7.77998793010863,6.49809459370407
1983,0.880666666666667,7.09745896158682,7.84755367685056,NA,6.54911721870464
1984,1.02133333333333,7.14034746266655,NA,7.95584721724445,6.6896700880456
1985,1.06933333333333,7.25480125715727,7.88515959952549,NA,6.70980435713651
1986,1.208,7.15727406611524,NA,7.66728454473836,6.43931074166347
1987,1.34266666666667,7.13233734955749,7.69054784900511,NA,6.51492092616744
1988,0.823333333333333,7.22022195768182,NA,7.98594121881505,6.54335944249182
1989,0.0533333333333334,7.20957141554617,7.93899010447604,NA,6.66586651845413
1990,-0.893333333333333,7.35438144000041,NA,8.10799623639476,6.70629710651763
1991,-0.574,7.29608179114845,7.77386800279811,NA,6.76338051808854
1992,-0.258,7.15205021233082,NA,8.03828060406399,6.71481241349628
1993,0.594,7.19767256974751,8.05730833675876,NA,6.91165998062557
1994,0.289333333333333,7.26975442418974,NA,8.10799651072454,6.75020922261008
1995,0.274,7.22053589279039,7.98792411996599,NA,6.66626238295563
1996,0.0280000000000001,7.05911275982502,NA,7.85676604241485,6.44824411453324
1997,0.642666666666667,7.23340575398074,8.01756379823169,NA,6.60932030106271
1998,0.342666666666667,7.03718270665152,NA,8.16456685074085,6.65425337920376
1999,-0.153333333333333,7.04609236749604,7.87303603118331,NA,6.55906857377749
2000,-0.477333333333333,7.00218645799352,NA,8.10666104449163,6.66875295473627
2001,-0.525333333333333,7.16384351054243,7.94083738567122,NA,6.69012676464323
2002,0.486666666666667,7.20587821575721,NA,8.09422305224396,6.57004648646453
2003,0.556,7.19324289964736,7.99941089274262,NA,6.67658433653028
2004,0.876,7.02579941032179,NA,8.20733886855224,6.63504883251366
2005,0.308,7.14963491221752,7.85511435846806,NA,6.58259714874153
2006,0.124,6.96756781853069,NA,8.1550904002971,6.49874146338616
2007,-0.272666666666667,6.99213934896286,7.91858328523658,NA,6.57923203539111
2008,-0.746,6.98830860804921,NA,7.97608062374088,6.57267914620634
2009,-0.602,7.23205248919209,8.02592120544214,NA,6.57255377745723
2010,-0.624,7.14602621270769,NA,8.05970014423635,6.50078942262171
2011,-0.673333333333333,7.12751498047493,7.82139344870523,NA,6.43602979306209
2012,-0.942,7.11027693933958,NA,8.34845907447471,6.73058276113407
2013,-0.568666666666667,7.19540009252093,7.97389508668262,NA,6.73601630831536
2014,0.656666666666667,7.11346034879832,NA,8.28156303119276,6.52487611245061
2015,1.31066666666667,7.04035799062936,7.56949165652199,NA,6.53684859068949
2016,1.586,6.79516677210742,NA,8.15116030241889,6.6693036748372
2017,0.965333333333333,6.99007233469215,7.60314149175446,NA,6.47682264701249
2018,0.576530069000522,NA,NA,8.0315336846062,6.54170402328429
2019,NA,NA,NA,NA,NA
